    MJD       Ra_deg  Dec_deg  Unc_deg  log10(Ereco)
57913.348015   77.48     8.23     0.63     2.65
57914.096904   76.70     6.30     1.68     2.85
57915.327141   77.09     8.46     2.26     2.86
57919.174210   75.03     6.80     0.84     3.22
57919.752107   78.18     6.83     1.03     2.57
57926.057813   77.78     8.39     3.24     2.87
57926.487024   77.96     7.14     1.28     2.62
57927.498977   77.89     7.06     1.02     2.79
57927.991698   78.18     5.94     0.42     3.02
57928.339974   76.04     4.62     0.52     2.68
57928.707132   79.04     6.39     0.73     2.43
57929.886783   79.69     6.53     0.54     2.80
57932.675180   78.03     6.24     0.59     2.98
57933.919577   75.03     3.95     1.15     3.09
57935.064706   77.45     8.34     2.57     2.84
57935.142474   75.10     7.27     2.05     2.72
57935.983400   76.94     5.12     0.58     3.02
57937.376960   77.85     7.60     0.97     2.79
57937.710717   77.11     3.60     1.26     2.79
57938.075172   76.19     7.19     1.31     2.98
57939.247644   78.73     4.53     1.98     2.91
57941.868422   76.07     5.25     2.62     2.53
57943.206149   77.65     8.38     1.33     2.96
57943.295074   78.57     3.42     1.01     3.11
57943.629262   75.98     5.15     0.52     2.84
57944.354831   76.62     8.35     2.36     2.56
57944.630916   75.24     4.62     0.50     2.93
57945.671005   78.34     7.64     2.79     2.84
57946.781995   78.34     6.21     0.62     3.25
57947.055682   80.13     5.74     0.34     3.22
57947.736692   77.84     8.24     0.78     2.79
57949.235659   78.06     8.08     0.37     3.08
57949.966616   76.39     4.88     0.94     3.03
57950.876611   76.31     2.98     0.74     2.80
57955.036184   79.90     6.49     1.74     2.77
57959.057564   78.01     4.72     1.38     2.71
57962.665770   79.29     5.91     1.16     3.11
57963.006134   79.38     7.84     1.09     3.06
57964.647521   78.90     3.99     1.39     2.89
57968.121000   79.81     6.72     2.49     2.52
57968.591718   75.18     6.81     1.87     3.02
57971.563589   74.48     5.71     0.45     3.05
57972.031610   75.24     4.71     0.58     3.02
57973.027420   80.21     6.32     0.46     3.06
57973.501000   76.87     6.16     1.53     3.09
57975.744505   78.90     6.87     0.38     2.93
57975.761524   76.68     6.58     0.51     2.85
57977.656546   77.80     2.91     0.42     3.07
57978.672991   76.72     4.68     2.47     2.70
57978.848030   79.78     5.35     0.34     3.11
57980.078596   74.69     6.51     0.64     2.86
57981.288774   76.25     5.06     0.56     3.19
57981.628809   77.53     6.01     2.79     3.04
57982.872396   77.34     8.69     0.76     2.82
57983.588765   77.45     2.89     0.42     2.90
57987.336174   77.59     8.46     2.30     2.44
57987.574630   78.77     4.72     5.29     2.82
57989.680364   79.28     4.73     1.20     2.96
57991.437069   76.34     6.50     0.80     2.92
57991.456127   75.80     5.39     1.75     3.10
57993.295100   76.74     5.56     1.29     3.01
57997.128390   77.38     3.84     0.46     3.12
57997.617983   75.42     4.26     0.58     3.03
57999.360216   80.12     5.40     1.01     3.22
58000.085426   75.40     7.91     0.77     3.09
58005.768552   77.06     6.65     0.97     2.95
58007.041032   75.40     4.68     2.72     2.95
58007.246827   77.10     7.81     0.62     3.01
58008.458590   79.08     5.93     1.93     2.83
58009.710421   75.87     6.58     0.79     2.75
58009.822492   77.79     5.57     0.33     2.97
58011.702562   76.84     7.85     2.25     2.98
58013.027408   77.26     4.19     1.59     2.99
58016.219773   78.84     3.93     0.53     3.19
58018.435320   75.43     6.60     0.67     2.92
58018.871186   77.39     5.64     0.15     4.73
58019.640030   74.71     4.70     0.30     3.02
58021.081407   76.98     3.71     1.11     2.97
58021.518787   76.20     8.00     0.42     3.07
58023.357340   75.61     3.55     1.33     1.58
58024.555286   79.21     5.41     0.62     3.13
58025.816070   75.02     4.60     0.40     2.96
58027.737690   76.94     4.00     1.05     2.86
58028.087586   77.38     4.89     0.35     2.69
58028.212861   78.21     5.88     1.78     2.95
58029.253077   77.79     7.85     0.86     2.96
58029.256078   76.68     5.99     0.38     3.03
58031.217509   77.80     5.55     1.28     2.81
58034.205115   76.08     3.88     0.43     2.87
58036.853977   79.05     6.60     0.34     3.29
58040.350791   79.12     4.34     0.50     2.86
58043.297454   75.48     5.93     0.42     3.96
58044.533915   76.07     3.60     0.57     2.99
58044.626019   76.00     4.67     1.04     3.07
58048.683351   76.44     5.28     0.81     2.79
58052.065081   75.73     5.18     0.83     3.06
58053.630423   75.04     4.01     0.38     2.86
58055.131478   78.64     7.87     0.33     3.08
58055.419500   79.38     5.89     0.90     2.79
58057.125837   77.64     5.23     0.93     2.85
