MJD	log10(E)	ang_err	RA	Dec
   55696      3.2      0.6     95.2    -11.0
   55696      4.1      1.5     21.6    -13.3
   55696      4.2      0.3    108.0    -21.4
   55696      3.0      0.8     14.3    -20.2
   55696      4.9      1.2     40.2    -31.7
   55696      4.5      0.4    142.7    -42.5
   55696      4.7      0.7    223.1    -42.6
   55696      4.7      0.3    355.8    -36.5
   55696      3.2      0.6    140.6    -75.6
   55696      4.5      0.6    175.4    -18.8
   55696      3.5      0.4    305.5    -16.1
   55696      4.3      0.3    235.3    -41.9
   55696      4.9      2.1    304.9    -69.6
   55696      4.3      0.2    126.3    -45.0
   55696      5.3      1.4    302.6    -31.4
   55696      4.7      0.6    228.9    -28.6
   55696      4.2      0.4    240.7    -63.2
   55696      4.7      0.8    353.3    -67.7
   55696      5.2      0.3    174.9    -65.5
   55696      4.7      0.2    266.8    -21.3
   55696      3.1      0.6      4.0     -9.0
   55696      4.2      0.2    348.3    -23.3
   55696      4.0      0.6    192.0    -26.4
   55696      3.6      0.2     56.8    -15.7
   55696      4.5      0.3    103.6    -52.0
   55696      4.5      0.2    250.3    -35.1
   55696      4.3      0.3    283.3    -22.6
   55696      5.0      0.4     60.1    -30.0
   55696      5.0      2.5    174.9    -52.0
   55696      4.3      0.6    183.7    -47.2
   55696      5.0      0.2    202.5    -65.1
   55696      3.6      0.3     99.1     -8.8
   55696      3.3      0.3    164.3    -33.1
   55696      5.2      1.6    173.6    -65.5
   55696      5.2      2.2    355.8    -50.9
   55696      4.7      0.7    280.7    -31.0
   55696      3.0      0.3      3.5     -5.1
   55696      3.3      0.5     40.2    -34.5
   55697      4.5      0.3      0.8    -30.9
   55697      5.4      0.7    286.9    -58.5
   55697      5.1      2.4     75.3    -22.9
   55697      4.8      0.4    320.5    -19.0
   55697      4.4      1.8    336.8    -14.3
   55697      3.9      0.3    178.2    -13.8
   55697      5.1      0.4    150.1    -34.5
   55697      4.1      0.2    112.2    -21.9
   55697      5.0      0.6    322.8    -40.3
   55697      4.3      0.2    212.8    -36.2
   55697      4.9      3.5    336.3    -41.3
   55697      3.7     12.5    305.9    -16.1
   55697      4.3      0.2    180.9    -20.1
   55697      4.7      0.2    131.2    -73.8
   55697      3.7      2.3    173.5    -74.2
   55697      4.7      0.4    256.5    -24.8
   55697      5.2      0.3    296.1    -38.2
   55697      4.3      0.2     98.0    -21.3
   55697      5.6      0.4    242.9    -43.9
   55697      3.1      0.4     24.4    -19.5
   55697      4.8      0.4    321.6    -47.6
   55697      3.5      1.4    306.6     -5.5
